Date;Event;AgeGroup;RegionName;New;Cumulative;Instant
2020-02-15;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-15;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-15;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-15;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-15;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-15;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-15;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-15;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-15;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-15;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-16;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-16;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-16;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-16;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-16;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-16;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-16;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-16;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-16;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-16;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-17;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-17;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-17;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-17;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-17;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-17;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-17;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-17;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-17;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-17;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-18;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-18;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-18;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-18;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-18;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-18;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-18;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-18;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-18;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-18;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-19;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-19;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-19;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-19;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-19;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-19;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-19;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-19;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-19;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-19;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-20;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-20;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-20;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-20;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-20;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-20;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-20;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-20;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-20;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-20;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-21;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-21;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-21;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-21;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-21;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-21;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-21;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-21;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-21;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-21;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-22;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-22;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-22;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-22;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-22;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-22;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-22;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-22;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-22;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-22;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-23;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-23;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-23;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-23;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-23;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-23;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-23;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-23;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-23;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-23;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-24;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-24;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-24;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-24;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-24;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-24;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-24;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-24;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-24;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-24;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-25;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-25;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-25;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-25;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-25;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-25;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-25;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-25;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-25;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-25;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-26;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-26;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-26;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-26;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-26;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-26;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-26;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-26;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-26;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-26;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-27;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-27;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-27;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-27;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-27;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-27;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-27;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-27;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-27;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-27;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-28;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-28;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-28;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-28;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-28;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-28;Hospitalised;60+;Syddanmark; 0;  0;  0
2020-02-28;Hospitalised;0-59;Hovedstaden; 0;  0;  0
2020-02-28;Hospitalised;60+;Hovedstaden; 0;  0;  0
2020-02-28;Hospitalised;0-59;Zealand; 0;  0;  0
2020-02-28;Hospitalised;60+;Zealand; 0;  0;  0
2020-02-29;Hospitalised;0-59;Nordjylland; 0;  0;  0
2020-02-29;Hospitalised;60+;Nordjylland; 0;  0;  0
2020-02-29;Hospitalised;0-59;Midtjylland; 0;  0;  0
2020-02-29;Hospitalised;60+;Midtjylland; 0;  0;  0
2020-02-29;Hospitalised;0-59;Syddanmark; 0;  0;  0
2020-02-29;Hospitalised;60+;Syddanmark; 0;  0;  0
